Field=#~Integer~#~50|Field=Designator~String~Designator~224|Field=Comment~String~Comment~228|Field=Description~String~Description~191|Field=Manufacturer~String~Manufacturer~100|Field=PartNumber~String~PartNumber~126|Field=Quantity~Integer~Quantity~90|Field=Unit Price~String~Unit Price~90|Field=WebLink~String~WebLink~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~senocore.PrjPcb|ReportField=ProjectFullPath~W:\Projects\Senocore\senocore.PrjPcb|ReportField=Title~Bill of Materials For Project [senocore.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~91|ReportField=ReportTime~14:55:01|ReportField=ReportDate~27.08.2019|ReportField=ReportDateTime~27.08.2019 14:55:01|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27.08.2019|ReportField=CurrentTime~14:35:58|ReportField=Date~|ReportField=DocumentFullPathAndName~W:\Projects\Senocore\senocore.SchDoc|ReportField=DocumentName~senocore.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20.06.2019|ReportField=Organization~|ReportField=ProjectName~senocore.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~senocore.PrjPcb|ReportField=DataSourceFullPath~W:\Projects\Senocore\senocore.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|ANT1|PCB ANTENNA 2.4Ghz|PCB antenna 2.4Ghz||PCB PRINT|1||
33|DA4|2.048V|Reference 2.048V|Texas Instruments|REF3318AIDCKR, REF3318AIDCKT|1|67|https://www.terraelectronica.ru/catalog/istochniki-opornogo-napryazheniya-i-toka-256?text=ref3320&search=ref3320
34|DD1|M25P80V6|Serial memory 2.7-3.6V, 8 Mbit (1 Mbyte)|Micron|M25P80-VMW|1|130|https://www.chipdip.ru/product1/8344124196
35|DD2|M430F1611|MCU|Texas Instruments|MSP430F1611IPM|1|1480|https://www.terraelectronica.ru/product/67958
36|DD3|DS2411|Unic 48bit serial code. Family code 0x01|Maxim|DS2411R+T&R|1|130|https://www.chipdip.ru/product/ds2411r-t-r-2
37|DD4|SHT10|Temp and hum sensor|Sensirion|SHT10|1|998|https://www.terraelectronica.ru/product/325109
38|HL1|RED|10 mA, V=2.5 V|G-nor Electronics|GNL-3012HD|1|8|https://www.chipdip.ru/product/gnl-3012hd
39|HL2|GREEN|10 mA, V=2.5 V|G-nor Electronics|GNL-3012GD|1|8|https://www.chipdip.ru/product/gnl-3012gd
40|HL3|YELLOW|10 mA, V=2.5 V|G-nor Electronics|GNL-3012YD|1|8|https://www.chipdip.ru/product/gnl-3012yd
41|L1|10uH|0805 SMD|Murata|LQM21FN100M80L|1|4.4|https://www.terraelectronica.ru/product/1496283
42|L2|7.5nH|SMD 0402 5%|Murata|LQG15HS7N5J02D|1|1.1|https://www.terraelectronica.ru/product/574342
43|L3|5.6nH|SMD 0402 5%|Murata|LQG15HS5N6S02D|1|1.1|https://www.terraelectronica.ru/product/867408
44|L4|7.5nH|SMD 0402 5%|Murata|LQG15HS7N5J02D|1|1.1|https://www.terraelectronica.ru/product/574342
45|L5|10uH|0805 SMD|Murata|LQM21FN100M80L|1|4.4|https://www.terraelectronica.ru/product/1496283
46|L6|10uH|0805 SMD|Murata|LQM21FN100M80L|1|4.4|https://www.terraelectronica.ru/product/1496283
47|R1|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
48|R2|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
49|R3|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
50|R4|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
51|R5|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
52|R6|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
53|R7|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
54|R8|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
55|R9|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
56|R10|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
57|R11|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
58|R12|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
59|R13|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
60|R14|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
61|R15|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
62|R16|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
63|R17|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
64|R18|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|https://www.terraelectronica.ru/product/358779
65|R19|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
66|R20|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
67|R21|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
68|R22|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
69|R23|20K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0720KL|1|0.11|https://www.terraelectronica.ru/product/506449
70|R24|43K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0743KL|1|0.11|https://www.terraelectronica.ru/product/870768
71|R25|3.0|1% 0402 SMD 0.063W|||1||
72|R26|750K|1% 0402 SMD 0.063W|Yageo|RC0402FR-07750KL|1|0.1|https://www.terraelectronica.ru/product/870851
73|R27|750K|1% 0402 SMD 0.063W|Yageo|RC0402FR-07750KL|1|0.1|https://www.terraelectronica.ru/product/870851
74|R28|470|1% 0402 SMD 0.063W|Yageo|RC0402FR-07470RL|1|0.1|https://www.terraelectronica.ru/product/870778
75|R29|750K|1% 0402 SMD 0.063W|Yageo|RC0402FR-07750KL|1|0.1|https://www.terraelectronica.ru/product/870851
76|R30|1|1% 0402 SMD 0.063W|Yageo|RC0402FR-071RL|1|0.1|https://www.terraelectronica.ru/product/870639
77|R31|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|tps://www.terraelectronica.ru/product/358779
78|R32|2.2K|1% 0402 SMD 0.063W|Yageo|RC0402FR-072K2L|1|0.11|https://www.terraelectronica.ru/product/560314
79|R33|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|tps://www.terraelectronica.ru/product/358779
80|R34|10K|1% 0402 SMD 0.063W|Yageo|RC0402FR-0710KL|1|0.1|tps://www.terraelectronica.ru/product/358779
81|R35|470|1% 0402 SMD 0.063W|Yageo|RC0402FR-07470RL|1|0.1|https://www.terraelectronica.ru/product/870778
82|R36|220|1% 0402 SMD 0.063W|Yageo|RC0402FR-07220RL|1|0.1|https://www.terraelectronica.ru/product/870650
83|R37|100|1% 0402 SMD 0.063W|Yageo|RC0402FR-07100RL|1|0.11|https://www.terraelectronica.ru/product/361823
84|SA1|MSK-12D19|Slide switch 3 pin|Shenzhen Intech Electronic|MSK-12D19|1|20|http://www.intechswitch.com/products/SideKnobToggleslideswitchseries/641.html
85|VT1|IRLML5103|p-mosfet   -30V 0.76A Vgs=-1V|International Rectifier|IRLML5103TRPBF|1|9|https://www.chipdip.ru/product/irlml5103tr
86|X1|Microfit3.0 16 pins R thru hole|Step 3mm, dual row 16 pins, thru hole|Molex|43045-1601 molex|1|450|https://www.chipdip.ru/product/43045-1601
87|X2|DS-1026-06 2X4|Step 2mm 2x4 height 4.3mm|Ningbo connfly electronic|DS1026-06-2*4S8BV|1|11|https://www.chipdip.ru/product/pbd2-8
88|XS1|Keystone AA Battery Clip|Button Contact|Keystone|92|1||https://www.keyelco.com/category.cfm/Cylindrical-Cell-Clips-THM-and-SMT/AA-CR2-Battery-Clips-and-Contacts/id/945
89|XS2|Keystone AA Battery Clip|Button Contact|Keystone|92|1||https://www.keyelco.com/category.cfm/Cylindrical-Cell-Clips-THM-and-SMT/AA-CR2-Battery-Clips-and-Contacts/id/945
90|ZQ1|16.000M|Load 12pF 20ppm|China|16.000MHzHC-49SM|1|15|https://www.chipdip.ru/product/16mhz-hc-49sm?from=suggest_product
91|ZQ2|32.768K|Load 12.5pF 20ppm|China|32768Hz(2x6mm)|1|12|https://www.chipdip.ru/product/32768hz-2x6mm
